id,amount,date
1000000000116,1835.59,2024-11-11
1000000000117,804.95,2025-01-21
1000000000118,544.12,2024-11-29
1000000000119,1675.91,2025-08-08
1000000000120,1276.66,2025-07-09
1000000000121,1011.87,2024-03-22
1000000000122,1643.74,2024-07-29
1000000000123,1173.45,2025-10-05
1000000000124,365.83,2025-06-01
1000000000125,677.68,2024-02-15
1000000000126,357.55,2025-11-23
1000000000127,631.02,2025-09-16
1000000000128,1897.32,2025-03-10
1000000000129,1435.48,2025-04-20
1000000000130,1378.24,2024-08-04
1000000000131,672.22,2025-07-24
1000000000132,1909.97,2025-10-10
1000000000133,1494.81,2024-09-12
1000000000134,1083.93,2025-12-23
1000000000135,1492.12,2024-12-24
1000000000136,1021.50,2025-08-02
1000000000137,925.90,2025-05-27
1000000000138,561.23,2025-03-30
1000000000139,354.23,2025-06-16
1000000000140,1302.97,2024-02-17
1000000000141,1262.05,2024-04-01
1000000000142,233.03,2024-07-30
1000000000143,1932.37,2025-08-01
1000000000144,121.10,2025-01-18
1000000000145,280.92,2025-11-16
1000000000146,391.32,2024-05-15
1000000000147,1604.36,2024-06-01
1000000000148,409.57,2024-02-24
1000000000149,1739.92,2025-09-28
1000000000150,1059.50,2025-07-27
1000000000151,1525.04,2025-06-05
1000000000152,163.04,2024-04-17
1000000000153,984.10,2025-11-04
1000000000154,943.43,2025-09-12
1000000000155,1523.70,2025-01-10
1000000000156,1182.87,2025-12-30
1000000000157,1353.04,2025-12-17
1000000000158,643.26,2025-05-20
1000000000159,1414.66,2025-08-09
1000000000160,30.01,2025-07-27
1000000000161,1739.41,2025-06-26
1000000000162,1842.76,2024-01-09
1000000000163,293.46,2024-08-03
1000000000164,1743.06,2025-04-02
1000000000165,1373.11,2024-02-27
1000000000166,1919.85,2025-02-27
1000000000167,682.65,2024-02-10
1000000000168,1641.12,2025-08-22
1000000000169,829.02,2025-03-25
1000000000170,285.78,2024-11-16
1000000000172,1138.81,2024-12-18
1000000000173,404.91,2025-11-15
1000000000174,1113.14,2025-06-07
1000000000175,8.96,2025-10-01
1000000000176,1846.27,2025-11-19
1000000000177,1840.10,2025-09-19
1000000000178,673.86,2025-08-17
1000000000179,1331.77,2025-02-13
1000000000180,1948.17,2024-07-20
1000000000181,457.29,2025-09-25
1000000000182,1298.25,2024-07-10
1000000000183,272.64,2025-07-22
1000000000184,1598.88,2024-09-16
1000000000185,763.47,2025-04-30
1000000000186,1633.76,2025-11-17
1000000000187,1298.21,2024-08-19
1000000000188,1557.14,2025-09-12
1000000000189,500.60,2025-04-26
1000000000190,391.31,2025-12-19
1000000000191,956.36,2025-09-06
1000000000192,1949.57,2025-02-23
1000000000193,413.58,2025-03-11
1000000000194,1379.27,2025-03-14
1000000000195,1356.21,2024-06-25
1000000000196,2.13,2025-03-31
1000000000197,1531.51,2024-04-18
1000000000198,829.18,2024-09-09
1000000000199,1249.50,2025-08-22
1000000000200,50.45,2024-04-28
1000000000201,286.59,2024-11-25
1000000000202,928.42,2025-07-22
1000000000203,786.64,2024-08-03
1000000000204,612.68,2025-01-21
1000000000205,148.72,2025-12-11
1000000000206,616.32,2025-01-23
1000000000207,1450.78,2025-10-06
1000000000208,201.96,2024-09-09
1000000000209,219.59,2025-07-28
1000000000210,1871.36,2024-11-09
1000000000211,1242.82,2026-02-17
1000000000212,177.57,2024-02-12
1000000000213,1944.70,2025-08-26
1000000000214,1362.21,2025-12-06
1000000000215,322.10,2024-12-11
1000000000216,328.83,2024-07-21
1000000000217,1686.93,2025-10-14
1000000000218,1215.45,2025-05-31
1000000000219,1405.91,2024-09-29
1000000000220,424.64,2025-01-24
1000000000221,678.13,2025-01-15
1000000000222,1335.45,2025-05-11
1000000000223,1551.06,2024-06-29
1000000000224,1082.17,2025-06-11
1000000000225,542.00,2026-01-29
1000000000226,1379.06,2024-11-16
1000000000227,1931.06,2024-04-20
1000000000228,1866.31,2024-12-06
1000000000229,1763.90,2024-05-17
1000000000230,514.79,2024-03-01
1000000000231,1774.24,2025-06-13
1000000000232,797.39,2026-01-22
1000000000233,1020.46,2026-01-07
1000000000234,1717.44,2024-09-10
1000000000235,1661.69,2026-02-02
1000000000236,955.09,2025-10-22
1000000000237,1120.41,2025-05-30
1000000000238,1323.55,2025-10-30
1000000000239,1154.63,2026-02-15
1000000000240,309.95,2025-01-14
1000000000241,634.29,2025-08-26
1000000000242,574.98,2025-09-07
1000000000243,157.11,2025-07-05
1000000000244,864.79,2025-11-26
1000000000245,54.44,2025-12-12
1000000000246,1504.33,2024-05-20
1000000000247,1416.44,2025-04-14
1000000000248,588.82,2024-10-20
1000000000249,1504.67,2025-03-27
1000000000250,563.52,2024-11-10
1000000000251,19.05,2025-04-16
1000000000252,182.12,2024-12-13
1000000000253,1809.85,2026-01-17
1000000000254,1613.71,2024-12-25
1000000000255,151.15,2025-01-06
1000000000256,585.82,2024-08-07
1000000000257,172.94,2024-02-29
1000000000258,80.96,2024-01-16
1000000000259,845.21,2025-06-18
1000000000260,181.77,2024-06-20
1000000000261,1314.80,2025-01-19
1000000000262,608.99,2024-07-18
1000000000263,712.43,2025-08-09
1000000000264,1710.51,2025-04-23
1000000000265,1241.34,2024-04-09
1000000000266,548.24,2025-07-02
1000000000267,1378.90,2024-07-04
1000000000268,346.95,2024-12-26
1000000000269,1849.49,2025-09-12
1000000000270,1460.20,2025-01-08
1000000000271,1473.41,2025-03-04
1000000000272,1208.77,2025-07-23
1000000000273,621.75,2024-10-19
1000000000274,1209.55,2024-10-24
1000000000275,1026.69,2024-08-05
1000000000276,487.34,2024-04-26
1000000000277,241.75,2026-01-18
1000000000278,248.41,2026-01-03
1000000000279,1684.97,2024-07-26
1000000000280,1131.33,2025-07-30
1000000000281,891.03,2025-07-02
1000000000282,1083.30,2025-06-19
1000000000283,1051.40,2024-08-22
1000000000284,1194.34,2024-02-22
1000000000285,1864.11,2025-05-01
1000000000286,139.13,2024-11-30
1000000000287,1721.73,2025-06-17
1000000000288,1670.84,2025-09-23
1000000000289,1652.25,2025-04-29
1000000000290,252.22,2025-07-16
1000000000291,155.59,2024-04-11
1000000000292,1029.73,2025-11-22
1000000000293,1861.91,2024-04-25
1000000000294,867.90,2024-11-02
1000000000295,279.95,2024-04-23
1000000000296,636.21,2025-08-01
1000000000297,490.36,2024-03-03
1000000000298,486.83,2025-02-22
1000000000299,1344.39,2025-12-29
1000000000300,1147.28,2024-03-04
1000000000301,358.96,2025-03-14
1000000000302,1078.96,2025-01-10
1000000000303,469.65,2025-12-29
1000000000304,712.60,2025-10-14
1000000000305,1183.11,2024-05-21
1000000000306,639.15,2025-03-17
1000000000307,193.34,2024-12-17
1000000000308,1133.27,2024-02-15
1000000000309,1407.25,2024-12-05
1000000000310,250.92,2024-12-08
1000000000311,129.97,2024-02-03
1000000000312,1667.49,2026-01-22
1000000000313,1317.06,2024-01-19
1000000000314,38.39,2026-02-09
1000000000315,239.04,2024-05-22
1000000000316,1926.71,2025-10-26
1000000000317,626.04,2024-09-21
1000000000318,425.75,2024-10-10
1000000000319,1039.43,2024-12-22
1000000000320,1241.92,2025-06-12
1000000000321,1230.98,2025-10-31
1000000000322,546.99,2025-05-17
1000000000323,1025.69,2025-07-15
1000000000324,150.53,2025-07-30
1000000000325,421.47,2024-06-05
1000000000326,969.29,2024-11-04
1000000000327,6.18,2025-06-02
1000000000328,998.55,2025-06-18
1000000000329,678.50,2024-07-31
1000000000330,1163.63,2024-12-10
1000000000331,729.74,2025-03-23
1000000000332,1081.83,2025-08-10
1000000000333,1781.09,2024-05-21
1000000000334,1867.77,2024-12-11
1000000000335,1473.52,2026-02-18
1000000000336,1692.35,2024-12-27
1000000000337,1836.85,2024-04-06
1000000000338,1244.57,2025-11-12
1000000000339,396.32,2025-10-29
1000000000340,486.03,2025-03-24
1000000000341,759.03,2024-10-25
1000000000342,557.09,2025-07-07
1000000000343,155.32,2024-04-21
1000000000344,1481.00,2025-03-04
1000000000345,1852.96,2025-04-08
1000000000346,1386.47,2025-06-05
1000000000347,156.47,2025-05-26
1000000000348,1912.43,2024-05-23
1000000000349,802.21,2025-02-25
1000000000350,146.78,2024-01-27
1000000000351,128.83,2025-12-06
1000000000352,1562.93,2025-04-25
1000000000353,1219.30,2024-11-03
1000000000354,1285.91,2025-01-04
1000000000355,1358.18,2026-01-07
1000000000357,141.31,2025-08-23
1000000000358,1298.63,2024-12-01
1000000000359,205.43,2025-03-28
1000000000360,475.62,2024-06-20
1000000000361,175.80,2025-03-04
1000000000362,1521.52,2024-08-08
1000000000363,175.08,2025-01-12
1000000000364,1726.44,2025-10-12
1000000000365,601.83,2024-04-13
1000000000366,1032.68,2025-03-10
1000000000367,307.09,2024-02-20
1000000000368,1456.70,2026-02-03
1000000000369,629.97,2025-08-31
1000000000370,1480.34,2024-04-02
1000000000371,1520.20,2025-10-23
1000000000372,102.25,2025-11-15
1000000000373,1583.75,2024-02-27
1000000000374,210.21,2025-10-26
1000000000375,1072.17,2025-05-27
1000000000376,1680.85,2025-04-28
1000000000377,1492.48,2025-05-15
1000000000378,1445.33,2024-07-13
1000000000379,1336.85,2025-02-21
1000000000380,809.28,2025-10-22
1000000000381,667.17,2025-01-22
1000000000382,522.74,2024-11-19
1000000000383,1712.42,2024-09-25
1000000000384,1831.19,2025-05-04
1000000000385,803.69,2026-01-08
1000000000386,610.69,2025-12-01
1000000000387,679.56,2024-08-05
1000000000388,1012.26,2025-08-16
1000000000389,335.18,2024-12-29
1000000000390,1717.45,2024-06-16
1000000000391,1650.51,2025-02-15
1000000000392,767.43,2024-05-23
1000000000393,1169.29,2025-05-23
1000000000394,808.78,2025-04-08
1000000000395,1922.36,2025-04-14
1000000000396,186.08,2025-08-22
1000000000397,24.47,2025-05-04
1000000000398,1172.00,2025-08-30
1000000000399,1588.30,2024-12-13
1000000000400,1439.63,2024-10-09
1000000000401,254.20,2025-12-06
1000000000402,187.91,2024-08-23
1000000000403,1374.81,2025-10-02
1000000000404,545.48,2025-01-06
1000000000405,1293.66,2024-01-23
1000000000406,678.50,2025-02-12
1000000000407,339.21,2025-09-17
1000000000408,930.18,2024-09-28
1000000000409,176.50,2025-02-20
1000000000410,625.04,2024-03-02
1000000000411,945.15,2025-10-17
1000000000412,729.07,2024-01-20
1000000000413,403.86,2024-11-14
1000000000414,1120.63,2025-08-14
1000000000415,1389.08,2025-08-07
1000000000416,1798.85,2025-05-23
1000000000417,773.88,2024-11-11
1000000000418,1564.06,2025-10-23
1000000000419,1672.17,2024-12-03
1000000000420,1352.59,2025-07-24
1000000000421,20.66,2025-05-11
1000000000422,1707.67,2024-06-02
1000000000423,1418.18,2026-02-12
1000000000424,765.86,2024-09-27
1000000000425,1696.23,2024-03-05
1000000000426,265.43,2026-01-25
1000000000427,343.90,2025-04-11
1000000000428,676.62,2024-07-02
1000000000429,295.69,2026-02-06
1000000000430,274.24,2024-02-18
1000000000431,1836.55,2025-01-11
1000000000432,1414.66,2024-08-20
1000000000433,397.98,2024-10-26
1000000000434,696.77,2024-01-12
1000000000435,720.81,2024-10-02
1000000000437,539.02,2024-12-24
1000000000438,1834.82,2025-06-08
1000000000439,877.04,2024-07-04
1000000000440,521.04,2025-03-16
1000000000441,1757.85,2024-03-11
1000000000443,675.38,2026-01-23
1000000000444,1292.44,2024-11-14
1000000000445,1306.67,2025-04-01
1000000000446,642.51,2025-08-23
1000000000448,236.58,2024-09-02
1000000000449,1642.46,2024-11-08
1000000000450,1083.29,2025-05-29
1000000000451,707.84,2024-01-25
1000000000452,113.36,2025-02-07
1000000000453,9.73,2024-12-24
1000000000455,335.03,2025-07-25
1000000000456,1629.07,2024-02-05
1000000000457,670.21,2025-06-11
1000000000458,413.66,2024-11-21
1000000000459,1895.19,2025-03-07
1000000000460,1129.96,2025-10-24
1000000000461,1410.71,2025-10-24
1000000000462,1804.29,2024-12-09
1000000000464,1434.30,2025-04-06
1000000000465,25.38,2024-09-18
1000000000466,286.61,2024-08-28
1000000000467,192.98,2025-08-12
1000000000468,1766.85,2024-04-18
1000000000469,381.64,2026-02-11
1000000000470,1395.15,2025-05-03
1000000000471,92.75,2025-08-03
1000000000472,944.35,2024-10-04
1000000000473,1489.51,2024-06-17
1000000000474,1412.87,2024-04-25
1000000000475,379.18,2026-02-20
1000000000476,1088.57,2026-02-19
1000000000477,326.41,2025-08-19
1000000000478,107.58,2025-05-28
1000000000479,788.55,2025-03-19
1000000000480,932.69,2025-10-20
1000000000481,104.37,2024-07-18
1000000000482,915.20,2024-08-05
1000000000483,537.61,2024-10-14
1000000000484,1743.97,2026-02-20
1000000000485,638.44,2025-03-20
1000000000486,1705.29,2024-10-15
1000000000487,263.40,2024-11-06
1000000000488,904.64,2025-02-06
1000000000489,1431.68,2025-06-24
1000000000490,1039.33,2024-03-18
1000000000491,1587.02,2024-07-10
1000000000492,1916.27,2025-06-30
1000000000493,395.70,2025-07-31
1000000000494,605.75,2025-12-08
1000000000495,416.01,2024-11-26
1000000000496,453.20,2024-12-03
1000000000497,1054.46,2025-02-25
1000000000498,64.02,2025-05-03
1000000000499,459.10,2024-07-23
1000000000500,1883.25,2024-09-28
1000000000501,849.71,2025-01-16
1000000000502,1052.97,2024-09-16
1000000000503,1712.89,2024-11-10
1000000000504,1879.40,2024-02-16
1000000000505,644.29,2024-11-05
1000000000506,682.60,2026-01-16
1000000000507,407.56,2025-05-14
1000000000508,1793.07,2025-01-24
1000000000509,276.95,2024-09-03
1000000000510,978.41,2024-01-15
1000000000511,99.65,2025-12-11
1000000000512,1207.56,2024-10-10
1000000000513,569.19,2025-02-04
1000000000514,510.76,2024-05-22
1000000000515,1177.16,2025-05-28
1000000000516,894.36,2025-08-10
1000000000517,780.70,2024-01-14
1000000000518,582.38,2024-11-17
1000000000519,570.45,2025-02-10
1000000000520,61.15,2025-12-18
1000000000521,1687.65,2026-02-17
1000000000522,494.29,2025-12-14
1000000000523,1019.11,2025-08-31
1000000000524,798.99,2025-06-10
1000000000525,712.76,2024-01-13
1000000000526,178.11,2024-09-18
1000000000527,714.08,2024-09-25
1000000000528,898.16,2024-12-04
1000000000529,1640.24,2025-10-22
1000000000530,1302.66,2026-02-08
1000000000531,1022.21,2024-01-06
1000000000532,1737.45,2025-03-19
1000000000533,1371.18,2025-06-24
1000000000534,847.05,2024-04-04
1000000000535,71.22,2024-07-20
1000000000536,295.48,2024-12-11
1000000000537,668.31,2024-01-15
1000000000538,457.07,2024-04-12
1000000000539,1484.61,2025-12-30
1000000000540,679.18,2025-07-15
1000000000541,98.45,2025-04-19
1000000000542,277.74,2026-01-09
1000000000543,1568.88,2025-10-23
1000000000544,1111.40,2026-01-29
1000000000545,884.21,2025-09-09
1000000000546,1862.76,2024-01-27
1000000000547,802.40,2024-05-17
1000000000548,1064.43,2024-11-10
1000000000549,1550.09,2025-11-18
1000000000550,1307.82,2024-11-26
1000000000551,296.25,2026-02-09
1000000000552,985.19,2025-06-18
1000000000553,1474.38,2025-08-04
1000000000554,486.50,2024-09-19
1000000000555,651.71,2024-06-18
1000000000556,114.12,2026-03-02
1000000000557,1812.25,2024-07-22
1000000000558,1115.19,2024-12-16
1000000000559,4.86,2025-02-11
1000000000560,1329.53,2025-07-16
1000000000561,1376.90,2024-01-31
1000000000562,1756.21,2025-01-19
1000000000563,1839.47,2025-07-07
1000000000564,1811.65,2026-01-08
1000000000565,1884.47,2025-01-12
1000000000566,1714.73,2024-12-25
1000000000567,504.27,2024-04-04
1000000000568,931.59,2024-08-16
1000000000569,1103.03,2024-11-20
1000000000570,179.52,2024-07-24
1000000000571,1698.39,2026-02-08
1000000000572,844.63,2024-09-11
1000000000573,1660.21,2025-10-06
1000000000574,803.01,2024-08-07
1000000000575,1696.23,2026-01-10
1000000000576,319.20,2024-05-18
1000000000577,1840.30,2024-08-29
1000000000578,768.26,2026-01-02
1000000000579,1343.37,2024-09-28
1000000000580,791.18,2025-06-17
1000000000581,1705.18,2024-04-09
1000000000582,1044.48,2025-08-17
1000000000583,834.36,2025-07-28
1000000000584,1046.79,2025-07-10
1000000000585,1782.67,2025-10-28
1000000000586,756.34,2025-05-01
1000000000587,1417.69,2025-04-18
1000000000588,326.00,2025-06-09
1000000000589,490.99,2025-11-07
1000000000590,1075.29,2024-09-28
1000000000591,1700.17,2025-11-24
1000000000592,969.73,2024-05-08
1000000000593,1731.83,2025-01-17
1000000000594,1912.83,2025-08-17
1000000000595,445.47,2026-02-08
1000000000596,1573.87,2024-11-30
1000000000597,1455.25,2024-11-24
1000000000598,769.87,2024-09-24
1000000000599,1038.56,2025-08-29
1000000000600,1401.15,2024-12-22
1000000000601,1.71,2024-06-25
1000000000602,777.34,2024-12-24
1000000000603,733.99,2024-12-20
1000000000604,537.88,2024-03-04
1000000000605,1099.42,2025-04-25
1000000000606,1483.06,2025-01-01
1000000000607,1551.24,2024-11-06
1000000000608,1674.04,2025-11-22
1000000000609,824.31,2025-10-13
1000000000610,1189.13,2024-07-10
1000000000611,1129.83,2026-02-20
1000000000612,1130.79,2025-01-29
1000000000613,1727.51,2024-07-23
1000000000614,546.87,2024-07-31
1000000000615,1307.18,2025-03-02
1000000000616,1210.08,2024-09-20
1000000000617,1881.71,2024-12-17
1000000000618,434.38,2024-03-16
1000000000619,1684.63,2025-10-10
1000000000620,217.40,2025-01-22
1000000000621,726.00,2025-05-27
1000000000622,1318.11,2025-03-03
1000000000623,1697.42,2024-11-22
1000000000624,1618.40,2025-09-14
1000000000625,1583.44,2025-09-20
1000000000626,857.38,2024-02-01
1000000000627,239.36,2025-01-20
1000000000628,1920.51,2025-05-03
1000000000629,600.97,2024-02-17
1000000000630,1720.27,2025-06-05
1000000000631,794.07,2025-07-29
1000000000632,574.83,2024-05-09
1000000000633,509.63,2025-12-21
1000000000634,377.29,2025-05-09
1000000000635,63.09,2024-09-28
1000000000636,118.79,2025-03-03
1000000000637,626.47,2026-01-23
1000000000638,1215.07,2024-04-15
1000000000639,1563.02,2024-08-07
1000000000640,186.81,2025-07-07
1000000000641,1164.67,2025-04-07
1000000000642,1059.94,2025-07-30
1000000000643,1568.51,2025-09-29
1000000000644,1472.03,2024-06-29
1000000000645,497.63,2025-12-13
1000000000646,1836.70,2025-06-29
1000000000647,1780.49,2024-06-01
1000000000648,982.08,2024-07-23
1000000000649,1264.26,2024-11-25
1000000000650,1022.14,2024-11-30
1000000000651,624.28,2025-09-15
1000000000652,386.61,2025-09-12
1000000000653,1677.49,2025-03-15
1000000000654,1758.17,2025-11-07
1000000000655,15.08,2025-06-21
1000000000656,1920.06,2025-04-25
1000000000657,273.12,2024-09-21
1000000000658,1087.30,2025-06-27
1000000000659,560.00,2025-01-15
1000000000660,450.22,2024-02-17
1000000000661,1779.36,2024-02-24
1000000000662,1324.52,2026-01-16
1000000000663,1138.68,2025-10-25
1000000000664,129.02,2025-08-25
1000000000665,1425.35,2024-10-18
1000000000666,626.47,2025-10-10
1000000000667,310.85,2024-03-07
1000000000668,1142.73,2025-12-28
1000000000669,341.48,2025-02-13
1000000000670,1190.12,2024-01-23
1000000000671,1706.93,2024-02-03
1000000000672,1358.20,2024-01-24
1000000000673,1429.23,2026-02-25
1000000000674,1522.59,2024-01-24
1000000000675,811.65,2025-09-09
1000000000676,1931.02,2025-05-02
1000000000677,1131.84,2025-03-10
1000000000678,1566.55,2025-05-28
1000000000679,1839.07,2026-01-01
1000000000680,1290.83,2025-03-12
1000000000681,1091.38,2025-01-09
1000000000682,1400.98,2024-09-17
1000000000683,1140.38,2025-11-05
1000000000684,407.46,2026-01-18
1000000000685,1901.38,2024-07-03
1000000000686,1213.90,2025-01-23
1000000000687,1151.01,2025-08-24
1000000000688,663.14,2025-04-14
1000000000689,1922.14,2024-12-27
1000000000690,632.59,2024-01-29
1000000000691,1630.48,2024-08-26
1000000000692,709.45,2025-09-10
1000000000693,1333.06,2025-07-14
1000000000694,1239.26,2026-01-27
1000000000695,1602.58,2024-07-16
1000000000696,612.16,2024-05-09
1000000000697,724.39,2024-10-21
1000000000698,1124.94,2025-09-17
1000000000699,198.71,2024-08-06
1000000000700,1824.42,2024-07-08
1000000000701,730.96,2025-05-14
1000000000702,600.02,2025-04-24
1000000000703,695.15,2024-08-13
1000000000704,859.07,2024-05-04
1000000000705,817.81,2024-12-10
1000000000706,1381.25,2025-04-28
1000000000707,206.61,2024-07-06
1000000000708,354.34,2025-08-25
1000000000709,386.18,2025-12-24
1000000000710,591.75,2024-06-07
1000000000711,979.67,2025-10-13
1000000000712,1774.34,2026-01-10
1000000000713,391.22,2024-10-15
1000000000714,1806.21,2024-04-13
1000000000715,547.51,2024-07-19
1000000000716,164.84,2025-09-29
1000000000717,1051.18,2024-04-20
1000000000718,1042.45,2024-06-18
1000000000719,846.37,2024-11-29
1000000000720,1387.53,2025-01-23
1000000000721,1191.53,2024-11-15
1000000000722,1063.35,2024-08-29
1000000000723,159.81,2024-11-06
1000000000724,529.32,2024-05-13
1000000000725,1047.76,2025-11-04
1000000000726,996.14,2025-09-24
1000000000727,1493.52,2024-02-09
1000000000728,1778.36,2025-07-05
1000000000729,50.60,2025-11-23
1000000000730,1472.08,2024-02-11
1000000000731,972.89,2024-02-12
1000000000732,1219.79,2025-09-25
1000000000733,15.74,2024-05-19
1000000000734,899.73,2025-07-09
1000000000735,763.90,2025-01-23
1000000000736,1926.48,2024-07-22
1000000000737,997.44,2025-12-13
1000000000738,1071.64,2025-10-09
1000000000739,1376.31,2025-10-23
1000000000740,1911.25,2024-10-01
1000000000741,1878.32,2025-01-01
1000000000742,1396.53,2024-02-23
1000000000743,1542.53,2024-09-03
1000000000744,564.34,2025-11-10
1000000000745,1248.54,2024-05-11
1000000000746,561.50,2025-04-26
1000000000747,698.27,2024-09-22
1000000000748,1114.62,2024-12-21
1000000000749,1241.93,2024-09-09
1000000000750,74.85,2026-01-20
1000000000751,994.55,2025-12-02
1000000000752,859.79,2024-07-29
1000000000753,1710.25,2025-07-28
1000000000754,1736.49,2025-07-01
1000000000755,1025.91,2024-07-22
1000000000756,1851.61,2024-08-11
1000000000757,422.51,2025-08-03
1000000000758,1195.27,2025-09-01
1000000000759,326.87,2024-09-13
1000000000760,1591.10,2024-10-15
1000000000761,1365.84,2026-01-02
1000000000762,69.63,2024-06-16
1000000000763,1007.75,2025-09-03
1000000000764,1513.49,2025-08-13
1000000000765,1443.20,2025-06-14
1000000000766,1695.23,2025-03-16
1000000000767,70.11,2026-02-11
1000000000768,215.23,2024-03-10
1000000000769,1643.47,2025-09-22
1000000000770,1096.17,2025-02-06
1000000000771,347.50,2024-03-12
1000000000772,1180.73,2024-01-19
1000000000773,465.16,2026-02-06
1000000000774,129.19,2025-03-10
1000000000775,665.61,2024-01-23
1000000000776,969.62,2024-02-23
1000000000777,837.35,2025-09-19
1000000000778,541.65,2024-01-21
1000000000779,1162.84,2025-08-09
1000000000780,836.06,2025-02-17
1000000000781,863.29,2024-02-23
1000000000782,1946.30,2025-12-10
1000000000783,969.68,2024-02-22
1000000000784,711.87,2024-12-25
1000000000785,1922.73,2026-01-06
1000000000786,1078.15,2024-11-13
1000000000787,645.45,2025-10-23
1000000000788,210.02,2025-01-14
1000000000789,1202.73,2025-02-21
1000000000790,50.21,2025-04-21
1000000000791,1915.11,2024-06-01
1000000000792,1379.37,2025-11-14
1000000000793,133.79,2025-02-06
1000000000794,895.14,2025-03-26
1000000000795,573.76,2026-01-22
1000000000796,1662.38,2025-06-02
1000000000797,176.05,2025-12-17
1000000000798,1666.49,2025-10-20
1000000000799,103.57,2025-06-07
1000000000800,1928.42,2024-08-07
1000000000801,79.98,2025-02-17
1000000000802,632.70,2025-07-01
1000000000803,510.22,2025-11-03
1000000000804,52.76,2024-11-25
1000000000805,1588.75,2024-01-20
